days_left,actual_price,RandomForestRegressor,XGBRegressor,ExtraTreesRegressor,DecisionTreeRegressor
1,5355.136654478976,5153.85115128758,5215.485685786106,5135.138826653426,5019.723473344292
2,7570.528517901748,7549.223855361553,7613.977528996668,7400.705785074551,7331.032135134158
3,7256.657814871017,7251.112036976803,7285.256777333085,7033.710873805907,7036.104042187715
4,6457.137229152988,6484.265105193047,6489.869585801055,6442.67232365384,6325.371216006992
5,6564.669451073985,6533.636892272134,6571.6987733741,6479.249024884572,6362.54984688607
6,6223.282267275842,6278.582290528528,6265.299165305547,6279.622432827374,6170.924765362403
7,6236.527264858627,6215.591581111948,6245.642394402776,6212.081370033578,6128.949840963119
8,6174.4928737638165,6206.68273379189,6189.314294182668,6208.7456129747225,6132.613987006586
9,6495.3879662004665,6429.11129115749,6488.856072042543,6446.338391957661,6346.754181720362
10,6620.665923945336,6480.050557023661,6583.375996910275,6482.426396368197,6414.624311611307
11,5762.874605263158,5796.388637437716,5760.045574736851,5837.441110251626,5782.065570610964
12,5531.882950990615,5585.702752104959,5554.495098605308,5606.64921343206,5602.438863476241
13,5726.709635416667,5755.9072549808525,5737.105837421873,5767.117653389843,5769.502542135852
14,5682.1330287206265,5688.168378286522,5681.927756214098,5702.273282148208,5701.893488505068
15,5434.4408740359895,5443.117354079793,5426.840880552697,5447.466125228159,5475.075605491274
16,5165.8177742616035,5157.7743219538615,5173.165466337027,5182.714733267522,5105.683170035289
17,5168.554602184087,5117.051824551971,5156.621096541861,5125.647385559021,5091.425502542406
18,4994.988227513228,4958.8398839164065,4989.586653042327,4980.115562746562,4943.433195840736
19,4824.233016983017,4826.467770168766,4836.5556034090905,4847.100559781249,4844.661987317104
20,5029.404282765738,4984.416572816318,5005.1600076367395,5003.493044992065,5010.8362060641075
21,4715.591360476664,4725.548493906388,4721.776834347071,4747.623814107632,4741.8817701466005
22,4954.292962774095,4953.166159997553,4968.006587519121,4974.018914433893,4973.131828196225
23,4964.308571428572,4911.130170780857,4932.776288766232,4926.158976270153,4913.558451801756
24,5068.689253507014,4980.192886024892,5026.802349711922,4986.368642366534,4993.75282532411
25,4746.890151515152,4780.26093735954,4756.484458623744,4791.430595266394,4788.789780859588
26,4756.278908999498,4811.124312464878,4777.32815685017,4815.505221262438,4827.860756128185
27,5089.967729188619,5103.041416631564,5090.06601840095,5104.122786167401,5125.6212660240435
28,4824.951942231076,4864.287795394444,4854.926127116537,4864.14650907667,4880.946868207469
29,4899.362375719518,4884.365950731364,4893.508229631083,4880.124219329062,4922.043557517268
30,4892.265450861196,4859.505393706866,4885.22006880699,4860.712396975347,4877.237335833086
31,4837.5085447954425,4797.480217956835,4829.10803095546,4816.422267084075,4857.215898255457
32,4852.317648527209,4918.120560239082,4880.642863467296,4930.323301700455,4960.755839181071
33,5041.722521828454,5058.981913073174,5040.3532784540275,5068.071207452236,5083.824536787368
34,4703.549869791666,4706.4389257770235,4700.403874895835,4724.712344028414,4757.401900837768
35,4842.775966850829,4862.5380494194,4848.887281284528,4861.530060969321,4903.519764230777
36,4825.5737113402065,4817.115853176077,4807.407047036081,4823.175404119074,4878.292505042079
37,4848.246386164172,4837.42023252574,4832.122220831184,4841.458828213077,4870.792397201713
38,5026.337983911513,4969.212956887147,5020.989559012069,4964.288203840233,4971.810523258441
39,4691.902631578947,4734.17806880486,4706.33211238095,4751.610109450112,4778.747261857208
40,4699.742175474602,4761.840703811253,4725.412948204207,4771.030514972488,4819.0884861261075
41,4850.276752767528,4860.937517718926,4855.456450711649,4865.759189903356,4899.466770610939
42,4833.068588469185,4883.035022277297,4835.1129504970195,4879.057526665941,4904.3906498004535
43,4757.021226415094,4775.715141669629,4767.666898598007,4776.931614333869,4824.661748645558
44,4699.917390194076,4721.8790255622735,4710.275295799283,4726.130609191209,4762.869218192237
45,4717.96638993037,4716.3107657399705,4704.023157003211,4716.556594697395,4762.987323523867
46,4842.51348104645,4909.600489171815,4864.468035237587,4910.846446680617,4965.436184700491
47,4784.955051369863,4821.377004924912,4798.994229851598,4823.525153075339,4880.3939697097985
48,4653.01033519553,4697.012564504608,4654.740521871509,4687.399021094276,4729.26423824039
49,4705.246523915462,4768.7694322259,4704.066260191881,4761.579022407586,4794.604825699032
