airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price,Actual_Price,Predicted_Price
4,1408,2,2,2,5,5,1,2.17,1,5953,5953,5974.4
5,1549,2,4,2,4,5,1,2.33,1,5955,5955,13618.4
5,1533,2,4,2,4,5,1,2.08,1,6060,6060,26625.4
2,1038,2,0,2,2,5,1,2.25,1,5954,5954,6298.4
2,1015,2,4,2,0,5,1,2.33,1,5954,5954,5954.0
3,245,2,1,2,4,5,1,2.17,1,5955,5955,6901.8
1,878,2,1,2,4,5,1,2.08,1,5955,5955,9884.0
2,925,2,2,0,4,5,1,15.67,1,5954,5954,8369.6
3,303,2,4,2,4,5,1,2.5,1,6165,6165,8344.2
3,62,2,2,2,2,5,1,2.17,1,6585,6585,7487.8
2,945,2,1,0,0,5,1,8.0,1,10575,10575,12735.0
3,131,2,0,0,2,5,1,6.0,1,10838,10838,9884.4
5,1472,2,2,0,4,5,1,16.17,1,12150,12150,37873.8
5,1474,2,0,0,4,5,1,18.0,1,12150,12150,30742.0
5,1460,2,4,0,4,5,1,23.17,1,12150,12150,21714.0
1,744,2,0,0,4,5,1,19.08,1,12150,12150,21668.6
1,734,2,5,0,0,5,1,17.75,1,12215,12215,37243.2
1,892,2,2,0,0,5,1,20.83,1,12938,12938,9598.6
1,721,2,1,0,4,5,1,26.0,1,12990,12990,27072.4
1,893,2,0,0,0,5,1,21.75,1,13086,13086,10045.8
1,841,2,2,0,0,5,1,19.5,1,13410,13410,24099.4
5,1516,2,5,0,5,5,1,26.42,1,14408,14408,21171.0
5,1552,2,2,2,5,5,1,2.25,1,15720,15720,19838.4
3,34,2,4,0,0,5,1,4.17,1,15720,15720,11915.2
4,1283,2,1,0,4,5,1,4.25,1,15720,15720,12344.2
1,758,2,2,0,5,5,1,24.75,1,16665,16665,31030.8
5,1472,2,2,0,5,5,1,5.75,1,17348,17348,46481.6
5,1474,2,0,0,5,5,1,7.58,1,17348,17348,35542.6
5,1470,2,4,0,5,5,1,13.75,1,17348,17348,24066.0
1,839,2,5,0,5,5,1,23.83,1,17295,17295,44394.8
2,949,2,4,0,2,5,1,8.92,1,18487,18487,10308.8
5,1460,2,4,0,5,5,1,11.17,1,18923,18923,24591.0
5,1464,2,2,0,4,5,1,15.58,1,19238,19238,38199.4
5,1489,2,2,0,4,5,1,15.75,1,19920,19920,33160.0
1,844,2,0,0,5,5,1,7.92,1,19710,19710,41792.6
1,732,2,2,0,2,5,1,22.75,1,19815,19815,27824.4
1,709,2,4,0,2,5,1,7.25,1,23206,23206,29957.6
1,704,2,1,0,2,5,1,11.0,1,25800,25800,43464.8
1,874,2,4,0,2,5,1,6.08,1,29580,29580,26718.6
